rating,comment
1,"Đóng gói cận thận, độ chống nhìn trộm t/bình, Độ bám của kính tệ: tôi đã tự dán nhiều lần kính cường lực nên đánh giá này không thiếu khách quan. Dán lần 1, hai bên thân máy bóng khí chạy dọc thân miết kiểu gì cũng không sát được, dán lần 2 không thay"
1,"sản phầm chưa dùng đã hỏng, Sản phầm không đúng dung lương mô tả"
1,"Sản phẩm giao chưa đúng theo yêu cầu, Shop không support khách hàng"
1,"trừ 1 sao vì đóng gói ẩu, chỉ lồng duy nhất túi bóng đen, ko có chống sốc, cũng ko hộp, trừ 1 sao khi đến nơi móp cả 2 cái giỏ, 1 cái động vào gãy luôn móc treo, trừ tiếp 1 sao vì 2 kệ mà chỉ có duy nhất 1 cái móc còn sót lại. Dù có chuẩn bị đủ móc "
1,"*Hãy xem đánh giá 1⭐, Rất bức xúc😡Không đáng 1 sao, Thái độ bán hàng rất tệ: đặt hàng 14/8 mà 18/8 shop mới chuẩn bị hàng xong. Nt shop k tl,  Sản phẩm. Có đánh giá là mỏng mà tui k tin. Đúng mỏng lắm nha mn ơi. Như tờ giấy á, Với cách bán hàng nv tui k trả hàng vì chắc sẽ phiền nên nhận để đánh 1⭐"
1,". Loa mới dùng 1 ngày là hông nghe tiếng nữa💁‍♀️, . Đúng là tiền nào của đó 🙂"
1,.thiếu 1. Số dụng củ
1,"?????? Nhầm hàng shop ơi cái này là cái gì :D mất 65k vô duyên, bọn lừa đảo"
1,??shop đặt dây 20w về dây 27w
1,_QUÁ TỆ_ Khuyên thật các bạn đừng mua hàng shop này.. Mình lỡ đặt mà quên xem bình luận. Thấy nhiều bạn cmt 1 sao kêu móp nên nt shop. Shop bảo yên tâm mình gói hàng kỹ cho. Khi nhận hàng thì gói sơ xài hèn gì hàng không móp sao được..  Móp k xài được đâu. Mấy bạn khác thấy thì like đi cho nhiều người thấy cmt mà đừng mua.
1,"))))) cái lắp không cố định được ạ, và khi để chồng lên nhau thì kh dùng được ạ, bung bét hết, mua phí tiền"
1,1 bên nghe đc 1 bên ko🙂nt hỏi shop cx ko trl quá thất vọng
1,1 bên nghe được còn 1 bên thì không!
1,"1 bịch 10c xài được 56cái, đứt dây, rách rất nhiều. , 300c chắc xài 140150 cái. Lần này đã mua lần 2 mà giao hàng quá tệ, không đúng chất lượng. Nhắn tin phản ánh thì không rep."
1,"1 cái bên siu to bên dường như ko nghe , Còn 1 cái bên nghe bên ko"
1,1 cái vô đc 1 vô kh đc là sao vậy
1,1 câu ngắn gọn. “ đéo nên mua” hàng vải như tờ giấy đi ẻ í  Mỏng dính
1,1 điểm. Giao hàng sứt mẻ. Ko hỗ trợ đổi trả. Lần sau ko mua bao giờ nữa. Ok shopppoo
1,1 đôi hong có mắt màu tay của nó cũng kì nữa
1,"1 sao , Cường lực trầy xước bể, đã vậy còn không có keo"
1,1 sao. Dép mới mang bị rách quai rồi. Thiệt uổng công chờ lâu
1,1 sao..giày mỏng v ra...nhỏ nữa..lót hơi ngắn so vs giầy..đi ko thoải mái ...rất tệ
1,"1. Gần 1 tháng mới cầm được hành trên tay, 2. Mình mua ví và một cái túi nữa nhưng shop chỉ giao túi chứ không giao ví, 3. Ncl shop như qq né đi mn ạ🥲 tui trầm cảm"
1,"1. Giao hàng 10 ngày mình nhận được, anh shipper khá nhiệt tình , 2. Shop có rep tin nhắn của mình nhưng không đáp ứng được nhu cầu gói hàng vào hộp của mình , 3. Kính 3/10. Mỏng tanh, gọng kính bị lệch, lắp ráp không thẳng hàng, phí tiền. Mọi người không nên mua nhé."
1,"1. Máy nhỏ, điện giật rất mạnh, sử dụng mức thấp nhất nhưng vẫn k chịu nổi, giựt tê tái luôn, không phù hợp để massage. Nói chung là sản phẩm rất tệ, không sử dụng được, mua về rồi bỏ rất phí tiền., 2. Cách tính tiền khó hiểu: tôi mua 2 sản phẩm 39k/1 sản phẩm thì 2 cái là 78k thôi nhưng hóa đơn là 85k. Cái này 1 phần cũng do lỗi của mình vì lúc đặt hàng k xem lại."
1,"1/4/1996: massan group > mạnh và sáng, 2002: ra mắt thương hiệu Chinsu (70% hộ gia đình có sp của massan), Xác nhập và phát triển thương hiệu của sp, 2018: meat"
1,10 bộ thì hết 6 cái giống nhau rồi thì bán làm gì nhiều vây.nnnnnkf
1,10 cái sim thì đăng kí được 4 cái còn 6 cái không đăng kí được tk spee. Chán cái dịch vụ
1,10 cái thì 6 cái giống nhau
1,10 chi tiết nhưng 8 cái giống nhau nói chung là đểu
1,10 điểm đóng gói. Ship xa đc đóng gói hẵng 1 cái bịch nilong 👍
1,10 dụng cụ mà có đến 7 cái giống nhau. Làm ăn lừa đảo
1,10 hủ nhưng giao 1 mùi . Đóng gói ko kỷ bể mất 1 hộp
1,12 cái sử dụng ko đc .Ko như những gì quảng cáo.biết ko sử dụng đc. Thì chắc ko mua
1,"16gb còn có 14.6 nha mn , cho 1 sao cho mn đọc"
1,1cái nge đc còn cái kia thì ko
1,1đống rồm ra mà chã có tác dụng
1,"1sao chưa nhận được , sản phẩm"
1,"1T cắm vào lattop còn 976G là đẹp nha ae. Nhưng nó là loại U Disk tốc độ chậm hơn flash usb bình thường và sau khi mình định dạng,vvvvv thì nó có 32g. Shop lừa nhau quá"
1,2 cái gãy hết 2 cái. Quá thất vọng đặt 12prm gửi 14prm
1,2 chân tye c sạc nhanh không nhận
1,"2 miếng 1 miếng thì vỡ , 1 miếng dán vào thù k hút được , bỏ cả 2"
1,27 nghìn cho cái set này là quá đắt bơ thì bé tí bánh tráng thì như cao su vậy mọi người ko nên mua đâu ạ
1,3 cổng sạc thì 1 cổng dùng đc 2 công hỏng sạc thì như sạc bt 1a mà bảo sạc nhanh cho shop 1*
1,40W nhưng sạc rất chậm
1,40W nhưng sạc vào rất chậm
1,40w sạc chạm hơn 20w
1,50k cuốn đc 2 cuốn
1,acc i the only thing i the phone is that i the name of the person that i the same
1,Ae đừng mua nha loại kém chất lượng xài k dc đâu
