rating,comment
negative,Đóng gói cận thận độ chống nhìn trộm t bình Độ bám của kính tệ tôi đã tự dán nhiều lần kính cường lực nên đánh giá này không thiếu khách quan Dán lần 1 hai bên thân máy bóng khí chạy dọc thân miết kiểu gì cũng không sát được dán lần 2 không thay
negative,sản phầm chưa dùng đã hỏng Sản phầm không đúng dung lương mô tả
negative,Sản phẩm giao chưa đúng theo yêu cầu Shop không support khách hàng
negative,trừ 1 sao vì đóng gói ẩu chỉ lồng duy nhất túi bóng đen ko có chống sốc cũng ko hộp trừ 1 sao khi đến nơi móp cả 2 cái giỏ 1 cái động vào gãy luôn móc treo trừ tiếp 1 sao vì 2 kệ mà chỉ có duy nhất 1 cái móc còn sót lại Dù có chuẩn bị đủ móc
negative, Hãy xem đánh giá 1 Rất bức xúc Không đáng 1 sao Thái độ bán hàng rất tệ đặt hàng 14 8 mà 18 8 shop mới chuẩn bị hàng xong Nt shop k tl Sản phẩm Có đánh giá là mỏng mà tui k tin Đúng mỏng lắm nha mn ơi Như tờ giấy á Với cách bán hàng nv tui k trả hàng vì chắc sẽ phiền nên nhận để đánh 1 
negative, Loa mới dùng 1 ngày là hông nghe tiếng nữa Đúng là tiền nào của đó 
negative, thiếu 1 Số dụng củ
negative, Nhầm hàng shop ơi cái này là cái gì D mất 65k vô duyên bọn lừa đảo
negative, shop đặt dây 20w về dây 27w
negative,_QUÁ TỆ_ Khuyên thật các bạn đừng mua hàng shop này Mình lỡ đặt mà quên xem bình luận Thấy nhiều bạn cmt 1 sao kêu móp nên nt shop Shop bảo yên tâm mình gói hàng kỹ cho Khi nhận hàng thì gói sơ xài hèn gì hàng không móp sao được Móp k xài được đâu Mấy bạn khác thấy thì like đi cho nhiều người thấy cmt mà đừng mua 
negative, cái lắp không cố định được ạ và khi để chồng lên nhau thì kh dùng được ạ bung bét hết mua phí tiền
negative,1 bên nghe đc 1 bên ko nt hỏi shop cx ko trl quá thất vọng
negative,1 bên nghe được còn 1 bên thì không 
negative,1 bịch 10c xài được 56cái đứt dây rách rất nhiều 300c chắc xài 140150 cái Lần này đã mua lần 2 mà giao hàng quá tệ không đúng chất lượng Nhắn tin phản ánh thì không rep 
negative,1 cái bên siu to bên dường như ko nghe Còn 1 cái bên nghe bên ko
negative,1 cái vô đc 1 vô kh đc là sao vậy
negative,1 câu ngắn gọn đéo nên mua hàng vải như tờ giấy đi ẻ í Mỏng dính
negative,1 điểm Giao hàng sứt mẻ Ko hỗ trợ đổi trả Lần sau ko mua bao giờ nữa Ok shopppoo
negative,1 đôi hong có mắt màu tay của nó cũng kì nữa
negative,1 sao Cường lực trầy xước bể đã vậy còn không có keo
negative,1 sao Dép mới mang bị rách quai rồi Thiệt uổng công chờ lâu
negative,1 sao giày mỏng v ra nhỏ nữa lót hơi ngắn so vs giầy đi ko thoải mái rất tệ
negative,1 Gần 1 tháng mới cầm được hành trên tay 2 Mình mua ví và một cái túi nữa nhưng shop chỉ giao túi chứ không giao ví 3 Ncl shop như qq né đi mn ạ tui trầm cảm
